id,job_number,section,item_number,description,bom,template,product_type,created_at
165,34092,heater,34092-01,"HEATER, FAB, 54X11, 304, RM",34092-01-000,FGFAB,Item,2025-09-09 17:53:57
166,34092,heater,34092-01.1,"HEATER, WELD, 54X11, 304",34092-01.1-000,Sub Assy,Pegged Supply,2025-09-09 17:53:57
171,34092,heater,34092-01.1-A,"PRECUT HTR54, 24STACK, 11GA, 304",34092-01.1-A-000,Sub Assy,Phantom,2025-09-09 17:53:57
167,34092,heater,34092-01.2,"HEATER, SHELL, 54X11, 304",34092-01.2-000,Sub Assy,Phantom,2025-09-09 17:53:57
168,34092,heater,34092-01.3,"HEATER, STACK, 24X12, W/3FL",34092-01.3-000,Sub Assy,Phantom,2025-09-09 17:53:57
169,34092,heater,34092-01.4,"GAS TRAIN, 2, BM, SIEMENS, 9.9MBTU, LEFT",34092-01.4-000,Sub Assy,Pegged Supply,2025-09-09 17:53:57
170,34092,heater,34092-01.5,"HEATER, MOD PIPING, RM",34092-01.5-000,Sub Assy,Phantom,2025-09-09 17:53:57
175,34092,pump,34092-04,"PUMP, DUPLEX, HP, CMF, 0.5HP",34092-04-000,FGFAB,Item,2025-09-09 17:53:57
176,34092,pump,34092-04.1,"PUMP SKID, DUPLEX, 45X56X78, 304",34092-04.1-000,Sub Assy,Phantom,2025-09-09 17:53:57
177,34092,pump,34092-04.1-A,"PRECUT, DUPLEX PUMP SKID, 3/16PL",34092-04.1-A-000,Sub Assy,Phantom,2025-09-09 17:53:57
172,34092,tank,34092-03,"TANK, 90X6, HW, 304",34092-03-000,FGFAB,Item,2025-09-09 17:53:57
173,34092,tank,34092-03.1,"TANK, SHELL, 90X72.25, 304",34092-03.1-000,Sub Assy,Phantom,2025-09-09 17:53:57
174,34092,tank,34092-03.1-A,"PRECUT TANK90X6, 11GA, 304",34092-03.1-A-000,Sub Assy,Phantom,2025-09-09 17:53:57
152,34902,heater,34902-01,"HEATER, FAB, 54X11, 304, RM",34902-01-000,FGFAB,Item,2025-09-09 17:52:34
153,34902,heater,34902-01.1,"HEATER, WELD, 54X11, 304",34902-01.1-000,Sub Assy,Pegged Supply,2025-09-09 17:52:34
158,34902,heater,34902-01.1-A,"PRECUT HTR54, 24STACK, 11GA, 304",34902-01.1-A-000,Sub Assy,Phantom,2025-09-09 17:52:34
154,34902,heater,34902-01.2,"HEATER, SHELL, 54X11, 304",34902-01.2-000,Sub Assy,Phantom,2025-09-09 17:52:34
155,34902,heater,34902-01.3,"HEATER, STACK, 24X12, W/3FL",34902-01.3-000,Sub Assy,Phantom,2025-09-09 17:52:34
156,34902,heater,34902-01.4,"GAS TRAIN, 2, BM, SIEMENS, 9.9MBTU, LEFT",34902-01.4-000,Sub Assy,Pegged Supply,2025-09-09 17:52:34
157,34902,heater,34902-01.5,"HEATER, MOD PIPING, RM",34902-01.5-000,Sub Assy,Phantom,2025-09-09 17:52:34
162,34902,pump,34902-04,"PUMP, DUPLEX, HP, CMF, 0.5HP",34902-04-000,FGFAB,Item,2025-09-09 17:52:34
163,34902,pump,34902-04.1,"PUMP SKID, DUPLEX, 45X56X78, 304",34902-04.1-000,Sub Assy,Phantom,2025-09-09 17:52:34
164,34902,pump,34902-04.1-A,"PRECUT, DUPLEX PUMP SKID, 3/16PL",34902-04.1-A-000,Sub Assy,Phantom,2025-09-09 17:52:34
159,34902,tank,34902-03,"TANK, 90X6, HW, 304",34902-03-000,FGFAB,Item,2025-09-09 17:52:34
160,34902,tank,34902-03.1,"TANK, SHELL, 90X72.25, 304",34902-03.1-000,Sub Assy,Phantom,2025-09-09 17:52:34
161,34902,tank,34902-03.1-A,"PRECUT TANK90X6, 11GA, 304",34902-03.1-A-000,Sub Assy,Phantom,2025-09-09 17:52:34
77,35279,heater,35279-01,"HEATER, FAB, 30X7, 304, GP",35279-01-000,FGFAB,Item,2025-09-09 15:17:06
78,35279,heater,35279-01.1,"HEATER, WELD, 30X7, 304",35279-01.1-000,Sub Assy,Pegged Supply,2025-09-09 15:17:06
83,35279,heater,35279-01.1-A,"PRECUT HTR30, 12STACK, 11GA, 304",35279-01.1-A-000,Sub Assy,Phantom,2025-09-09 15:17:06
79,35279,heater,35279-01.2,"HEATER, SHELL, 30X7, 304",35279-01.2-000,Sub Assy,Phantom,2025-09-09 15:17:06
