id,job_number,dash_number,heater_diameter,heater_height,stack_diameter,stack_height,flange_inlet,heater_model,material,gas_train_size,gas_train_mount,btu,hand,heater_ab,heater_single_dual,created_at
3,22224,03,84,14.0,20,,2.5,TE,AL6XN,2.5,FM,8.0,LH,A,D,2025-09-04 17:43:42
7,,,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:17:13
8,,,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:25:56
9,,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:27:35
12,,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,A,S,2025-09-04 18:31:03
14,,,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:33:39
15,,,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:39:44
16,,,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 18:43:46
19,35151,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-04 19:00:35
36,35285,01,84,12.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:28:21
37,35285,01,84,12.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:29:05
38,35285,01,84,11.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:40:05
39,35285,01,84,11.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:40:07
40,35285,01,84,11.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:45:04
41,35285,01,84,11.0,36,,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 14:45:16
42,35285,01,84,11.0,36,24.0,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-08 15:54:44
43,,01,54,11.0,24,12.0,3.0,RM,304,2.0,BM,9.9,LEFT,,S,2025-09-09 13:27:26
68,35285,01,84,11.0,36,24.0,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-09 14:20:23
71,35285,01,84,11.0,36,24.0,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-09 14:30:18
74,35285,01,84,11.0,36,24.0,4.0,TE-NSF,304,3.0,BM,12.0,LEFT,,S,2025-09-09 14:35:55
76,35354,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-09 15:09:39
77,35354,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-09 15:10:00
78,35389,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-09 15:13:46
79,35279,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-09 15:16:59
80,35279,01,30,7.0,12,,1.0,GP,304,1.0,BM,1.2,LEFT,,S,2025-09-09 15:17:06
87,34092,01,54,11.0,24,12.0,3.0,RM,304,2.0,BM,9.9,LEFT,,S,2025-09-09 17:53:57
88,35389,01,42,11.0,18,10.0,2.0,RM,316,2.0,BM,10.0,LEFT,,S,2025-09-10 13:33:43
89,35389,01,42,11.0,18,10.0,2.0,RM,316,2.0,BM,10.0,LEFT,,S,2025-09-10 13:34:03
90,35389,01,42,11.0,18,10.0,2.0,RM,316,2.0,BM,10.0,LEFT,,S,2025-09-10 13:43:33
91,35389,01,42,11.0,18,10.0,2.0,RM,316,2.0,BM,4.5,LEFT,,S,2025-09-10 13:43:46
92,35389,01,42,11.0,18,10.0,2.0,RM,316,2.0,BM,4.5,LEFT,,S,2025-09-10 13:43:56
